PULocationID,unique_taxi_types,avg_trip_duration_min,borough_encoded,service_zone_encoded
104,1.0,65.13333333333334,3,4
105,1.0,23.866666666666667,3,4
106,2.0,19.67819083023544,1,1
107,3.0,17.51236559139785,3,4
108,3.0,16.919437129690586,1,1
109,2.0,18.482913043478263,5,1
110,1.0,13.716666666666667,5,1
111,1.0,16.433333333333334,1,1
112,3.0,19.112881355932206,1,1
113,3.0,18.156849315068495,3,4
114,3.0,18.139710144927534,3,4
115,2.0,16.394054720872,5,1
116,3.0,17.730913978494623,3,1
117,3.0,22.39088043478261,4,1
118,2.0,18.855234159779613,5,1
119,3.0,16.538111577964518,0,1
120,1.0,16.437037037037037,3,1
121,3.0,18.049568539933723,4,1
122,2.0,17.09945054945055,4,1
123,3.0,15.860996240601501,1,1
124,2.0,17.137747175141243,4,1
125,3.0,19.254618473895583,3,4
126,3.0,16.011510441575005,0,1
127,3.0,17.151100777307107,3,1
128,1.0,17.537352941176472,3,1
129,4.0,16.94021645021645,4,1
130,4.0,17.498535486669894,4,1
131,3.0,17.095592286501375,4,1
132,3.0,41.38527640246561,4,0
133,3.0,18.779127816627817,1,1
134,3.0,16.292502680191326,4,1
135,3.0,17.78692459520942,4,1
136,3.0,16.44449106399334,0,1
137,3.0,17.384515151515153,3,4
138,3.0,29.01342306287327,4,0
139,2.0,15.818598739068538,4,1
140,3.0,18.52267441860465,3,4
141,3.0,17.284045124899276,3,4
142,3.0,17.938091167910116,3,4
143,3.0,18.05271739130435,3,4
144,3.0,18.58363914373089,3,4
145,3.0,19.093051368771903,4,1
146,3.0,19.43371268196398,4,1
147,2.0,17.28731714645184,0,1
148,3.0,19.06121794871795,3,4
149,3.0,16.643074003795064,1,1
150,2.0,16.584902213625618,1,1
151,3.0,17.950755408874222,3,4
152,3.0,17.862057822022685,3,1
153,2.0,14.945987654320989,3,1
154,1.0,20.337037037037035,1,1
155,3.0,19.20398550724638,1,1
156,2.0,15.099534696840086,5,1
157,3.0,16.578241527825007,4,1
158,3.0,19.02271762208068,3,4
159,3.0,16.886110905575123,0,1
160,3.0,16.890172933409872,4,1
161,3.0,19.436963696369638,3,4
162,3.0,18.47837800859999,3,4
163,3.0,20.463048341341526,3,4
164,3.0,19.56509407531336,3,4
165,3.0,18.697742125673663,1,1
166,4.0,18.981759242654554,3,1
167,3.0,17.171290233561628,0,1
168,3.0,16.73789568274282,0,1
169,3.0,16.04249724316979,0,1
170,3.0,17.81551860649248,3,4
171,2.0,16.29663534705221,4,1
172,2.0,18.111670973298878,5,1
173,3.0,16.51351678609342,4,1
174,3.0,16.280829579579578,0,1
175,2.0,17.948765432098767,4,1
176,2.0,20.150405092592592,5,1
177,3.0,18.799286456045966,1,1
178,2.0,16.69419850885368,1,1
179,3.0,17.99661111111111,4,1
180,2.0,16.0625871459695,4,1
181,3.0,20.614499805421573,1,1
